@relation GENERATED
@attribute A1 numeric
@attribute A2 numeric
@attribute A3 numeric
@attribute CLASS {MIN,MAJ}
@data
0.10034838252810303,0.020090686304590724,-0.069934423611085,MIN
0.17284292468215262,0.10223656255246803,-0.046295455406283825,MIN
0.28581769108152405,0.10540693068615148,-0.198175148079008,MIN
0.2539645228871753,0.13683861552514484,-0.13703703142001072,MIN
0.09675904664478804,0.03928447716354279,-0.10137677487014003,MIN
0.283120423613639,0.09079126060584759,-0.08735758029921672,MIN
0.14524860443789356,0.1536546302838343,-0.0885134382823262,MIN
0.2629081122838787,0.17293713685372486,-0.2180087262207957,MIN
0.23749502506097342,0.18825668325651113,-0.1607402006008875,MIN
0.2502907881120289,0.10611080700863385,-0.042432263809418946,MIN
0.23731494515603443,0.09137806793145896,-0.0934339139981284,MIN
0.14452369278039323,0.0414564685559959,-0.12167690925486177,MIN
0.1126705245860444,0.07288815339498926,-0.06053879259586445,MIN
0.17158046735903454,0.13892189120665943,-0.0740960800814505,MIN
0.2781151527869625,0.15820439777655,-0.2221061817150856,MIN
0.20179723428459098,0.15890827409903235,-0.13425094766110376,MIN
0.13301096626989378,0.07676239785115507,-0.15171831130084976,MIN
0.31937234323874475,0.12826918129345988,-0.13769911672992646,MIN
0.214048165583085,0.06144285144836883,-0.11641276844492987,MIN
0.10486128316227555,0.05483889273069922,-0.025607389304021635,MIN
0.17481777752685923,0.11550191773030039,-0.025642689513171557,MIN
0.2813524629547872,0.13478442430019094,-0.17365279114680665,MIN
0.16783286480285434,0.11629450976372123,-0.12224285604937707,MIN
0.19492647076400166,0.1255394670319561,-0.19732066011853353,MIN
0.265598529680968,0.1844122544275342,-0.19778591488758224,MIN
0.2788259282867233,0.1030589702130778,-0.1637349355022088,MIN
0.22802095006566847,0.15614947538096788,-0.060970284883050785,MIN
0.14810985963291412,0.0740035991330906,-0.0969524622179624,MIN
0.23606289294169833,0.11934707772990549,-0.1665994971771309,MIN
0.2630721000110142,0.0786704356226773,-0.11563018237664055,MIN
0.1252002808352688,0.14153380530066395,-0.11678604035975004,MIN
0.21959339511549641,0.1707651454612718,-0.19030266635800772,MIN
0.23238915816655187,0.0886192692133945,-0.07199472956653916,MIN
0.2242733475094883,0.1335220939380297,-0.10911706085097736,MIN
0.2846665999382194,0.19955583174969987,-0.12020570651054133,MIN
0.11153262157512384,0.06669576409293865,-0.1001739216960912,MIN
0.0156039909791489,0.194836803774471,0.012986737021496119,MIN
0.026581078658309613,0.2537784887316445,0.06104546517109995,MIN
-0.05254798788387441,0.1780783302620537,0.023378145658049288,MIN
-0.002757278205541256,0.1293954205023563,0.04280889375228249,MIN
0.040376074688974334,0.21039162945078807,0.054845898086724854,MIN
0.03967020591374282,0.21396784938671906,0.1042763634665764,MIN
0.05082421975596109,0.13610112481214787,0.009061839240070278,MIN
-0.01821177282254065,0.31350023501109425,0.004124476302232213,MIN
0.042280222342667,0.26481732525139684,0.013919743664897843,MIN
-0.03967880514373184,0.18767278937848578,-0.005370103571225249,MIN
0.0049133146719621355,0.07571506245165413,0.008287025562096692,MIN
-0.03583590778915409,0.24661447433565928,0.049112278399423635,MIN
0.024351981614457445,0.3244811989102305,0.08009026441547931,MIN
0.0623357044788011,0.2779648552555135,0.08640802519167254,MIN
-0.02424868912576748,0.2000981306809423,0.07919755831348348,MIN
0.03394985996606263,0.23462429407114996,3.6384649276872266E-4,MIN
-0.020459531621027368,0.15242443728661798,0.011670969665405602,MIN
0.04003246354418026,0.10374152752692059,0.02146623702807121,MIN
-0.02900352903432148,0.28114063772586695,0.016528874090233157,MIN
0.031184360369290058,0.35900736230043817,0.04750686010628886,MIN
0.051150457543379574,0.2502593629365404,0.04816099518207806,MIN
-0.026872907671689417,0.1723926383619692,0.03324214371863499,MIN
0.046531775634622755,0.11937659639231102,0.07889886644894817,MIN
4.055356984970435E-6,0.29460914048627695,0.07743901009758253,MIN
-6.489176147862243E-4,0.21890898201668618,-0.03088850144696361,MIN
-0.021120408231913742,0.2354498750101299,-0.017756957926803194,MIN
0.031933290847114826,0.3133165995847011,0.019644681910297553,MIN
-0.032873280465253535,0.1045671084659005,0.01940456716111194,MIN
0.02731460893835798,0.18243383304047173,0.05038255317716763,MIN
-0.005262240794474387,0.2478752163125864,0.06642528472864284,MIN
0.03918299952381782,0.3286306956937981,0.07991928765397856,MIN
-0.03853625992965508,0.12421433678495834,0.043817717537145404,MIN
0.017026086991098956,0.2951137486689635,-0.00207635620963572,MIN
